Name	Country	Latitude	Longitude
Edmond	US	35.65283	-97.4781
Midwest City	US	35.44951	-97.3967
Choctaw	US	35.49756	-97.26892
Del City	US	35.44201	-97.44087
Warr Acres	US	35.52256	-97.61893
Bethany	US	35.51867	-97.63226
Spencer	US	35.52284	-97.37726
Harrah	US	35.48951	-97.16364
Jones	US	35.56589	-97.28698
Luther	US	35.66173	-97.19559
Moore	US	35.33951	-97.4867
The Village	US	35.56089	-97.55143
Nichols Hills	US	35.55089	-97.54893
Nicoma Park	US	35.49117	-97.32309
Forest Park	US	35.50423	-97.44615
Smith Village	US	35.45089	-97.45726
Valley Brook	US	35.40201	-97.48143
Wheatland	US	35.39784	-97.65226
Woodlawn Park	US	35.51145	-97.65004
Arcadia	US	35.66672	-97.3267
Newalla	US	35.40507	-97.16281
Elk City	US	35.41199	-99.40426
Weatherford	US	35.52616	-98.70757
Yukon	US	35.50672	-97.76254
Mustang	US	35.38423	-97.72449
Oakland	US	34.1001	-96.79389
Okarche	US	35.72588	-97.97644
Piedmont	US	35.642	-97.74643
Pink	US	35.26063	-97.11975
Prague	US	35.48674	-96.68502
Ringling	US	34.17843	-97.59253
Rush Springs	US	34.78257	-97.95698
Byng	US	34.8612	-96.66557
Cache	US	34.62952	-98.62867
Calera	US	33.93454	-96.4286
Carnegie	US	35.10367	-98.60367
Central High	US	34.62313	-98.08976
Checotah	US	35.4701	-95.52304
Clinton	US	35.51561	-98.96731
Comanche	US	34.36897	-97.96392
Cyril	US	34.89646	-98.2006
Davis	US	34.50453	-97.11946
Dickson	US	34.18732	-96.98446
Elgin	US	34.78035	-98.29227
Erick	US	35.21533	-99.86649
Fletcher	US	34.82312	-98.24422
Geary	US	35.63116	-98.31729
Geronimo	US	34.48119	-98.38311
Goldsby	US	35.14118	-97.47698
Grandfield	US	34.22842	-98.68451
Ardmore	US	34.30	-97.02
Tulsa	US	36.20	-95.90
Stillwater	US	36.16	-97.09
Oklahoma City	US	35.40	-97.60
Cherookee	US	36.7542	-98.3553
Perry	US	36.2914	-97.2911
Enid	US	36.4006	-97.8808
